"unigram","bigram","trigram","freq"
"lot","of","people",18
"me","and","my",18
"meant","to","be",18
"more","of","the",18
"not","so","much",18
"on","the","back",18
"one","thing","i",18
"only","a","few",18
"over","to","the",18
"so","if","you",18
"so","much","more",18
"so","that","i",18
"some","of","you",18
"that","is","not",18
"that","it","would",18
"that","kind","of",18
"that","she","had",18
"that","she","was",18
"the","best","of",18
"the","book","of",18
"the","chance","to",18
"the","edge","of",18
"the","first","place",18
"the","form","of",18
"the","hands","of",18
"the","lack","of",18
"the","last","time",18
"the","th","century",18
"the","way","the",18
"them","in","the",18
"to","find","the",18
"to","get","back",18
"to","the","ground",18
"to","worry","about",18
"want","to","know",18
"wanted","to","do",18
"was","a","great",18
"was","supposed","to",18
"we","will","be",18
"what","i","was",18
"with","one","of",18
"would","not","be",18
"you","can","use",18
"you","do","not",18
"you","have","any",18
"a","fan","of",17
"a","total","of",17
"a","very","good",17
"all","of","these",17
"am","going","to",17
"and","i","got",17
"and","out","of",17
"and","that","was",17
"and","they","were",17
"are","trying","to",17
"at","one","point",17
"black","and","white",17
"but","i","do",17
"but","i","had",17
"but","there","is",17
"decided","to","make",17
"for","a","couple",17
"for","all","the",17
"for","the","most",17
"for","us","to",17
"from","time","to",17
"get","to","know",17
"going","to","do",17
"had","no","idea",17
"have","a","lot",17
"have","to","get",17
"he","said","he",17
"he","wanted","to",17
"here","is","the",17
"i","didnt","want",17
"i","found","it",17
"i","have","not",17
"i","knew","that",17
"i","wonder","if",17
"im","not","a",17
"in","and","out",17
"in","any","way",17
"in","the","day",17
"in","the","midst",17
"in","the","state",17
"involved","in","the",17
"is","just","a",17
"it","does","not",17
"it","feels","like",17
"it","is","just",17
"it","on","the",17
"it","would","have",17
"leave","a","comment",17
"left","in","the",17
"less","than","a",17
"many","of","us",17
"more","than","i",17
"need","to","do",17
"of","the","city",17
"of","the","month",17
"on","the","ground",17
"percent","of","the",17
"said","it","was",17
"should","be","a",17
"so","it","was",17
"some","of","these",17
"some","sort","of",17
"that","was","a",17
"the","federal","government",17
"the","first","day",17
"the","most","important",17
"the","purpose","of",17
"they","can","be",17
"this","is","an",17
"this","is","why",17
"this","kind","of",17
"this","was","the",17
"time","to","time",17
"to","be","more",17
"to","become","a",17
"to","do","something",17
"to","get","it",17
"to","me","i",17
"to","one","of",17
"to","the","people",17
"was","just","a",17
"what","i","do",17
"what","is","the",17
"what","it","is",17
"when","i","got",17
"who","i","am",17
"would","not","have",17
"you","can","make",17
"a","few","minutes",16
"a","great","deal",16
"a","way","that",16
"and","how","to",16
"and","i","could",16
"and","on","the",16
"and","there","are",16
"and","when","i",16
"and","you","will",16
"as","opposed","to",16
"but","im","not",16
"but","in","the",16
"but","you","can",16
"can","be","a",16
"can","be","found",16
"close","to","the",16
"did","not","have",16
"didnt","have","a",16
"director","of","the",16
"few","weeks","ago",16
"for","a","new",16
"friends","and","family",16
"from","one","of",16
"have","to","make",16
"heart","of","the",16
"i","knew","i",16
"i","know","its",16
"i","love","that",16
"i","managed","to",16
"i","still","have",16
"i","think","we",16
"i","took","the",16
"i","wish","i",16
"if","i","dont",16
"if","you","do",16
"in","fact","i",16
"in","my","head",16
"in","my","mind",16
"in","my","opinion",16
"in","real","life",16
"in","the","center",16
"in","the","face",16
"is","all","about",16
"is","full","of",16
"is","hard","to",16
"is","on","the",16
"is","that","you",16
"is","what","i",16
"it","in","a",16
"it","is","an",16
"it","was","all",16
"live","in","the",16
"not","be","able",16
"not","to","be",16
"of","the","family",16
"of","the","many",16
"of","the","past",16
"of","the","week",16
"out","to","the",16
"so","i","am",16
"so","i","decided",16
"so","that","you",16
"that","if","i",16
"that","she","would",16
"that","they","can",16
"that","we","were",16
"the","course","of",16
"the","last","couple",16
"the","life","of",16
"the","midst","of",16
"the","price","of",16
"the","process","of",16
"the","result","of",16
"the","role","of",16
"the","way","we",16
"the","whole","thing",16
"the","world","of",16
"think","about","it",16
"thought","i","would",16
"to","all","of",16
"to","focus","on",16
"to","go","through",16
"to","pick","up",16
"to","set","up",16
"to","share","with",16
"to","those","who",16
"two","of","the",16
"up","at","the",16
"up","in","a",16
"wanted","to","be",16
"were","able","to",16
"what","are","you",16
"what","i","want",16
"will","be","able",16
"you","can","also",16
"you","know","the",16
"a","combination","of",15
"a","few","things",15
"a","hint","of",15
"able","to","get",15
"according","to","a",15
"all","of","a",15
"an","attempt","to",15
"and","he","was",15
"and","i","hope",15
"and","i","know",15
"and","i","would",15
